,CollegeName,TotalRegistrations,State
49,College,5,-
107,"IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY, SIDDIPET",1,-
52,GITAM - GITAM UNIVERSITY,4,Andhra Pradesh
77,MVGR COLLEGE OF ENGINEERING,2,Andhra Pradesh
91,KLH - K L UNIVERSITY,1,Andhra Pradesh
125,SWRN - SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Andhra Pradesh
133,VIGNAN UNIVERSITY,1,Andhra Pradesh
136,VIT AP UNIVERSITY,1,Andhra Pradesh
137,VIT-AP,1,Andhra Pradesh
113,PBRVITS - PARAVATHA REDDY BABUL REDDY VISVODAYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,Andhra Pradesh
134,VIGNAN FOUNDATION FOR SCIENCE AND TECHNOLOGY,1,Andhra Pradesh
112,PARUL UNIVERSITY,1,Gujarat
22,SMIC - ST MARYS INTEGRATED CAMPUS,14,Karnataka
28,CMRM - CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),11,Karnataka
32,VIT - VELLORE INSTITUTE OF TECHNOLOGY,10,Tamil Nadu
55,DHANALAKSHMI SRINIVASAN UNIVERSITY,4,Tamil Nadu
67,VELLORE INSTITUTE OF TECHNOLOGY,3,Tamil Nadu
82,AMRITA VISHWA VIDYAPEETHAM,1,Tamil Nadu
106,KCEA - KSHATRIYA COLLEGE OF ENGINEERING,1,Tamil Nadu
123,NIAT,1,Tamil Nadu
129,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,1,Tamil Nadu
45,OUCE - OSMANIA UNIVERSITY COLLEGE OF ENGINEERING,5,Telangana
70,GITAM HYDERABAD,2,Telangana
90,MALLAREDDY GROUP,1,Telangana
92,GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY,1,Telangana
94,ICFAI HYDERABAD,1,Telangana
97,IFHE(ICFAI FOUNDATION OF HIGHER EDDUCATION) HYDERABAD,1,Telangana
100,IIITH - INTERNATIONAL INSTITUTE OF INFORMATION AND TECHNOLOGY,1,Telangana
101,JAHNAVI DEGREE & PG COLLEGE,1,Telangana
111,Nextwave,1,Telangana
114,S.R.M INSTITUTE OF SCIENCE AND TECHNOLOGY,1,Telangana
122,NGIT - NEIL GOGTE INSTITUTE OF TECHNOLOGY,1,Telangana
124,TRRM - TRR GROUP OF INSTITUTIONS,1,Telangana
130,ST FRANCIS WOMENS COLLEGE,1,Telangana
135,VEVIKANANDA COLLEGE,1,Telangana
1,SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,213,Telangana
2,VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,154,Telangana
3,ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),109,Telangana
4,NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,63,Telangana
5,GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),49,Telangana
6,SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),47,Telangana
7,KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),44,Telangana
8,MRCE - MALLA REDDY COLLEGE OF ENGINEERING,42,Telangana
9,SMCD - ST MARYS ENGINEERING COLLEGE,40,Telangana
10,MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,39,Telangana
11,GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,34,Telangana
12,STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),34,Telangana
13,BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,32,Telangana
14,JNTH - JNTU COLLEGE OF ENGG HYDERABAD,32,Telangana
15,NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),25,Telangana
16,BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,23,Telangana
